Incident Subcategory,,Fraction missing values,dtype,num unique values,top,freq,mean,min,25%,50%,75%,max,std
Aggravated Assault,index,0.0,Whole Number,1616,,,15230.967821782178,1.0,7401.75,15685.5,22695.0,30702.0,9076.156083304182
Aggravated Assault,Incident Datetime,0.0,text,1069,2018/10/14 03:22:00 AM,8,,,,,,,
Aggravated Assault,Incident Date,0.0,text,677,2019/08/01,12,,,,,,,
Aggravated Assault,Incident Time,0.0,text,613,15:00,16,,,,,,,
Aggravated Assault,Incident Year,0.0,Whole Number,4,,,2018.7772277227723,2018.0,2018.0,2019.0,2019.0,2021.0,0.8655075928676002
Aggravated Assault,Incident Day of Week,0.0,text,7,Thursday,272,,,,,,,
Aggravated Assault,Report Datetime,0.0,text,1101,2018/05/12 07:09:00 PM,10,,,,,,,
Aggravated Assault,Row ID,0.0,Whole Number,1276,,,78565010107.6318,61891004011.0,69324854013.5,77578754017.0,86278504012.0,106325004092.0,10881500358.01811
Aggravated Assault,Incident ID,0.0,Whole Number,1173,,,785650.0606435643,618910.0,693248.5,775787.5,862785.0,1063250.0,108815.00360956039
Aggravated Assault,Incident Number,0.0,text,841,180653458,21,,,,,,,
Aggravated Assault,CAD Number,0.03217821782178218,Decimal number,988,,,189406835.43861893,161730612.0,181928495.75,190322109.0,192963625.5,211331238.0,8596729.031993689
Aggravated Assault,Report Type Code,0.0,text,3,II,1046,,,,,,,
Aggravated Assault,Report Type Description,0.0,text,3,Initial,1046,,,,,,,
Aggravated Assault,Incident Code,0.0,Whole Number,27,,,4043.2753712871286,4011.0,4013.0,4013.0,4021.0,12026.0,398.4428968878193
Aggravated Assault,Incident Category,0.0,text,1,Assault,1616,,,,,,,
Aggravated Assault,Incident Subcategory,0.0,text,1,Aggravated Assault,1616,,,,,,,
Aggravated Assault,Incident Description,0.0,text,26,"Assault, Aggravated, W/ Other Weapon",533,,,,,,,
Aggravated Assault,Resolution,0.0,text,2,Cite or Arrest Adult,1285,,,,,,,
Aggravated Assault,Intersection,0.01608910891089109,text,640,BOARDMAN PL \ BRYANT ST,32,,,,,,,
Aggravated Assault,CNN,0.01608910891089109,Decimal number,641,,,24882335.220125787,20044000.0,23721000.0,24515000.0,25825000.0,51307000.0,3274594.744629169
Aggravated Assault,Police District,0.0,text,11,Mission,282,,,,,,,
Aggravated Assault,Analysis Neighborhood,0.017945544554455444,text,39,Mission,242,,,,,,,
Aggravated Assault,Supervisor District,0.01608910891089109,Decimal number,11,,,6.7823899371069185,1.0,5.0,6.0,9.0,11.0,2.6302097055517697
Aggravated Assault,Latitude,0.01608910891089109,Decimal number,641,,,37.76406287425565,37.70831126504184,37.74736631166639,37.77179534618179,37.78328785199654,37.82979157711902,0.025738637154580055
Aggravated Assault,Longitude,0.01608910891089109,Decimal number,641,,,-122.41958005874226,-122.51129492624534,-122.42904060264011,-122.41561999044939,-122.40669900268831,-122.3712458991155,0.023425706536544792
Aggravated Assault,Neighborhoods,0.05012376237623763,Decimal number,100,,,53.04364820846906,3.0,31.0,53.0,80.0,117.0,29.67725211454769
Aggravated Assault,ESNCAG - Boundary File,0.9975247524752475,Decimal number,1,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Aggravated Assault,Central Market/Tenderloin Boundary Polygon - Updated,0.8131188118811881,Decimal number,1,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Aggravated Assault,Civic Center Harm Reduction Project Boundary,0.8292079207920792,Decimal number,1,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Aggravated Assault,HSOC Zones as of 2018-06-05,0.7042079207920792,Decimal number,5,,,2.3326359832635983,1.0,1.0,3.0,3.0,5.0,1.2951375590968754
Aggravated Assault,Current Supervisor Districts,0.01608910891089109,Decimal number,11,,,6.910062893081761,1.0,3.0,9.0,10.0,11.0,3.4099158513219536
Aggravated Assault,Current Police Districts,0.019801980198019802,Decimal number,10,,,4.683712121212121,1.0,3.0,4.0,6.0,10.0,2.7638744095137397
Aggravated Assault,ID,0.0,Whole Number,1056,,,58576.25495049505,36065.0,53014.0,58797.5,64080.25,70611.0,6409.213129012204
Aggravated Assault,Court Number,0.0,Whole Number,908,,,18736422.6509901,2508599.0,18011273.0,19004000.0,19017065.0,21004755.0,1437520.4111254402
Aggravated Assault,Arrest Date_x,0.0,text,650,2019/08/01,18,,,,,,,
Aggravated Assault,Filed Case Type,0.0,text,3,Felony,1326,,,,,,,
Aggravated Assault,List of Filed Charges,0.0,text,778,",245(A)4,",23,,,,,,,
Aggravated Assault,Crime Type,0.0,text,32,ASLT,858,,,,,,,
Aggravated Assault,Crime Description,0.0,text,36,Assault-Felony,780,,,,,,,
Aggravated Assault,Type,0.0,text,2,New Filing,1435,,,,,,,
Aggravated Assault,Filing.Date,0.0,Date + time,504,,,2019-05-12 18:40:05.940594176,2018-01-04 00:00:00,2018-08-24 00:00:00,2019-04-17 00:00:00,2019-11-19 06:00:00,2021-06-23 00:00:00,
Aggravated Assault,Status,0.0,text,2,CLO,1606,,,,,,,
Aggravated Assault,Attempt,0.0,Decimal number,2,,,0.23391089108910892,0.0,0.0,0.0,0.0,1.0,0.42344721484202935
Aggravated Assault,Filed.Charge.List,0.0,text,799,245A1/F/0,30,,,,,,,
Aggravated Assault,Case.Dispo,0.0,Whole Number,32,,,158.1516089108911,39.0,74.0,190.0,190.0,999.0,83.51886331792085
Aggravated Assault,Case.Dispo.Date,0.006188118811881188,Date + time,542,,,2019-12-31 09:35:38.480697344,2018-01-19 00:00:00,2019-03-02 00:00:00,2019-12-03 12:00:00,2020-10-22 00:00:00,2021-12-01 00:00:00,
Aggravated Assault,Dispo.Description,0.006188118811881188,text,30,County Jail w/ Probation Condition,806,,,,,,,
Aggravated Assault,Arrest Date_y,0.0,text,587,2019-08-01 00:00:00,18,,,,,,,
Aggravated Assault,Filing Date,0.0,Date + time,506,,,2019-05-14 14:50:11.881188096,2018-01-04 00:00:00,2018-08-24 00:00:00,2019-04-17 00:00:00,2019-11-19 06:00:00,2021-06-23 00:00:00,
Aggravated Assault,Dispo Code,0.0,text,31,190.0,808.0,,,,,,,
Aggravated Assault,Dispo Description,0.0,text,31,County Jail W/ Probation Condi,808,,,,,,,
Aggravated Assault,Dispo Date,0.0,Date + time,545,,,2020-01-01 14:15:26.732673280,2018-01-19 00:00:00,2019-03-05 00:00:00,2019-12-03 12:00:00,2020-10-22 06:00:00,2021-12-06 00:00:00,
Aggravated Assault,Case Stage,0.0,text,20,Preliminary Hearing ,414,,,,,,,
Aggravated Assault,Custody Status,0.0,text,3,I             ,785,,,,,,,
Aggravated Assault,Outcome,0.0,text,7,GP                  ,889,,,,,,,
Aggravated Assault,Outcome Sub-Type,0.0,text,12,NEG                 ,881,,,,,,,
Aggravated Assault,Outcome Sub-Type Description,0.0,text,12,Negotiated                  ,881,,,,,,,
Aggravated Assault,Dispo Case Type,0.0,text,2,Felony         ,985,,,,,,,
Aggravated Assault,Sentence Type,0.0,text,10,                              ,727,,,,,,,
